id,method,path,module,status_code,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,min_ms,max_ms,response_bytes,status
1,POST,/api/v1/auth/register,auth,400,3.92,4.53,4.53,4.53,3.76,2.84,4.53,19,PASS
2,POST,/api/v1/auth/login,auth,400,2.68,3.21,3.21,3.21,2.82,2.57,3.21,19,PASS
3,POST,/api/v1/auth/mfa/verify,auth,400,2.5,3.08,3.08,3.08,2.62,2.27,3.08,19,PASS
4,POST,/api/v1/auth/refresh,auth,400,2.23,2.24,2.24,2.24,2.19,2.1,2.24,19,PASS
5,POST,/api/v1/auth/logout,auth,400,3.56,4.07,4.07,4.07,3.4,2.58,4.07,19,PASS
6,POST,/api/v1/auth/logout-all,auth,400,2.59,2.95,2.95,2.95,2.7,2.54,2.95,19,PASS
7,GET,/api/v1/auth/me,auth,400,2.34,2.76,2.76,2.76,2.41,2.12,2.76,19,PASS
8,PUT,/api/v1/auth/me,auth,400,2.52,3.21,3.21,3.21,2.66,2.26,3.21,19,PASS
9,GET,/api/v1/auth/sessions,auth,400,2.17,2.34,2.34,2.34,2.21,2.12,2.34,19,PASS
10,DELETE,/api/v1/auth/sessions/{session_id},auth,400,2.14,2.24,2.24,2.24,2.17,2.13,2.24,19,PASS
11,POST,/api/v1/auth/password/change,auth,400,2.21,2.81,2.81,2.81,2.39,2.15,2.81,19,PASS
12,POST,/api/v1/auth/password/reset/request,auth,400,2.4,2.44,2.44,2.44,2.39,2.32,2.44,19,PASS
13,POST,/api/v1/auth/password/reset/confirm,auth,400,2.33,2.49,2.49,2.49,2.37,2.29,2.49,19,PASS
14,POST,/api/v1/auth/email/verify/confirm,auth,400,2.4,2.44,2.44,2.44,2.35,2.22,2.44,19,PASS
15,POST,/api/v1/auth/email/verify/request,auth,400,2.1,2.56,2.56,2.56,2.25,2.09,2.56,19,PASS
16,POST,/api/v1/auth/mfa/enroll,auth,400,2.88,3.11,3.11,3.11,2.8,2.42,3.11,19,PASS
17,POST,/api/v1/auth/mfa/enroll/confirm,auth,400,2.21,2.54,2.54,2.54,2.3,2.17,2.54,19,PASS
18,POST,/api/v1/auth/mfa/disable,auth,400,3.34,4.12,4.12,4.12,3.29,2.41,4.12,19,PASS
19,POST,/api/v1/auth/oauth/login,auth,400,2.9,3.26,3.26,3.26,2.84,2.37,3.26,19,PASS
20,GET,/api/v1/auth/oauth/accounts,auth,400,2.5,3.44,3.44,3.44,2.72,2.22,3.44,19,PASS
21,POST,/api/v1/auth/oauth/link,auth,400,3.39,3.8,3.8,3.8,3.53,3.39,3.8,19,PASS
22,DELETE,/api/v1/auth/oauth/accounts/{account_id},auth,400,2.74,2.81,2.81,2.81,2.61,2.29,2.81,19,PASS
23,GET,/api/v1/admin/roles,admin,400,2.54,2.62,2.62,2.62,2.55,2.49,2.62,19,PASS
24,POST,/api/v1/admin/roles,admin,400,3.13,3.57,3.57,3.57,3.14,2.72,3.57,19,PASS
25,GET,/api/v1/admin/roles/{role_id},admin,400,2.7,2.84,2.84,2.84,2.59,2.22,2.84,19,PASS
26,PUT,/api/v1/admin/roles/{role_id},admin,400,2.47,2.86,2.86,2.86,2.54,2.28,2.86,19,PASS
27,DELETE,/api/v1/admin/roles/{role_id},admin,400,1.99,2.16,2.16,2.16,2.02,1.91,2.16,19,PASS
28,GET,/api/v1/admin/permissions,admin,400,2.06,2.08,2.08,2.08,2.05,2.03,2.08,19,PASS
29,GET,/api/v1/admin/users,admin,400,2.05,2.14,2.14,2.14,2.07,2.01,2.14,19,PASS
30,POST,/api/v1/admin/users,admin,400,2.1,2.14,2.14,2.14,2.1,2.06,2.14,19,PASS
31,GET,/api/v1/admin/users/{user_id},admin,400,2.75,3.26,3.26,3.26,2.83,2.49,3.26,19,PASS
32,PUT,/api/v1/admin/users/{user_id},admin,400,2.54,2.74,2.74,2.74,2.49,2.2,2.74,19,PASS
33,DELETE,/api/v1/admin/users/{user_id},admin,400,2.66,3.39,3.39,3.39,2.88,2.61,3.39,19,PASS
34,GET,/api/v1/dashboards/rescue,dashboards,400,2.12,2.47,2.47,2.47,2.21,2.03,2.47,19,PASS
35,GET,/api/v1/dashboards/rescue/stream,dashboards,400,2.02,2.04,2.04,2.04,2.03,2.01,2.04,19,PASS
36,GET,/api/v1/dashboards/shelter,dashboards,400,2.59,2.72,2.72,2.72,2.56,2.36,2.72,19,PASS
37,GET,/api/v1/dashboards/medical,dashboards,400,2.1,2.2,2.2,2.2,2.11,2.03,2.2,19,PASS
38,GET,/api/v1/dashboards/adoption,dashboards,400,2.2,5.32,5.32,5.32,3.21,2.11,5.32,19,PASS
39,GET,/api/v1/dashboards/foster,dashboards,400,2.01,2.04,2.04,2.04,2.0,1.95,2.04,19,PASS
40,GET,/api/v1/dashboards/volunteer,dashboards,400,2.09,2.14,2.14,2.14,2.09,2.05,2.14,19,PASS
41,GET,/api/v1/dashboards/inventory,dashboards,400,2.06,2.12,2.12,2.12,2.06,2.01,2.12,19,PASS
42,GET,/api/v1/dashboards/finance,dashboards,400,2.11,2.22,2.22,2.22,2.14,2.08,2.22,19,PASS
43,GET,/api/v1/dashboards/donor,dashboards,400,2.56,3.02,3.02,3.02,2.55,2.08,3.02,19,PASS
44,GET,/api/v1/dashboards/staff,dashboards,400,2.17,2.26,2.26,2.26,2.19,2.15,2.26,19,PASS
45,GET,/api/v1/dashboards/executive,dashboards,400,2.38,2.68,2.68,2.68,2.41,2.17,2.68,19,PASS
46,GET,/api/v1/dashboards/public,dashboards,400,2.1,2.45,2.45,2.45,2.2,2.06,2.45,19,PASS
47,GET,/api/v1/dashboards/operations,dashboards,400,2.27,2.49,2.49,2.49,2.34,2.25,2.49,19,PASS
48,GET,/api/v1/admin/dashboard/metrics,admin-dashboard,400,2.26,2.66,2.66,2.66,2.35,2.14,2.66,19,PASS
49,GET,/api/v1/admin/dashboard/summary,admin-dashboard,400,2.16,3.49,3.49,3.49,2.58,2.11,3.49,19,PASS
50,GET,/api/v1/admin/dashboard/kpis,admin-dashboard,400,2.15,2.58,2.58,2.58,2.29,2.12,2.58,19,PASS
51,GET,/api/v1/admin/dashboard/charts,admin-dashboard,400,2.13,2.72,2.72,2.72,2.32,2.1,2.72,19,PASS
52,GET,/api/v1/admin/dashboard/recent-activity,admin-dashboard,400,2.25,2.3,2.3,2.3,2.25,2.2,2.3,19,PASS
53,GET,/api/v1/admin/dashboard/inventory-alerts,admin-dashboard,400,2.31,2.68,2.68,2.68,2.36,2.1,2.68,19,PASS
54,GET,/api/v1/admin/dashboard/donation-summary,admin-dashboard,400,2.2,2.28,2.28,2.28,2.23,2.19,2.28,19,PASS
55,GET,/api/v1/admin/dashboard/rescue-stats,admin-dashboard,400,2.28,2.71,2.71,2.71,2.36,2.11,2.71,19,PASS
56,GET,/api/v1/admin/dashboard/medical-stats,admin-dashboard,400,3.22,3.28,3.28,3.28,3.2,3.11,3.28,19,PASS
57,GET,/api/v1/admin/dashboard/adoption-stats,admin-dashboard,400,2.42,2.48,2.48,2.48,2.42,2.38,2.48,19,PASS
58,GET,/api/v1/admin/dashboard/volunteer-stats,admin-dashboard,400,2.56,3.06,3.06,3.06,2.67,2.38,3.06,19,PASS
59,GET,/api/v1/admin/dashboard/notification-summary,admin-dashboard,400,2.63,2.86,2.86,2.86,2.68,2.55,2.86,19,PASS
60,GET,/api/v1/admin/dashboard/shelter-stats,admin-dashboard,400,2.39,2.81,2.81,2.81,2.48,2.24,2.81,19,PASS
61,GET,/api/v1/admin/dashboard/foster-stats,admin-dashboard,400,2.45,2.54,2.54,2.54,2.43,2.29,2.54,19,PASS
62,GET,/api/v1/admin/dashboard/lost-found-stats,admin-dashboard,400,2.25,2.96,2.96,2.96,2.47,2.2,2.96,19,PASS
63,GET,/api/v1/admin/dashboard/grievance-stats,admin-dashboard,400,2.31,2.36,2.36,2.36,2.27,2.15,2.36,19,PASS
