id,method,path,module,summary,status_code,p50_ms,p95_ms,max_ms,status,notes
1,GET,/api/v1/admin/audit-logs,admin-audit,List Audit Logs,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
2,POST,/api/v1/admin/audit-logs/export,admin-audit,Export Audit Logs,200,140.0,310.0,450.0,PASS,Optimized (Arq Pool Fast Fallback / Flush Truncation)
3,GET,/api/v1/admin/audit-logs/export,admin-audit,Export Audit Logs,200,160.0,340.0,480.0,PASS,Optimized (Subquery Count Sorting Removed / Indexed Scan)
4,GET,/api/v1/admin/audit-logs/{entry_id},admin-audit,Get Audit Log,200,135.0,280.0,390.0,PASS,Optimized (Auth Session Caching / Connection Pool Recycle)
5,GET,/api/v1/admin/dashboard/adoption-stats,admin-dashboard,Get Adoption Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
6,GET,/api/v1/admin/dashboard/charts,admin-dashboard,Get Charts,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
7,GET,/api/v1/admin/dashboard/donation-summary,admin-dashboard,Get Donation Summary,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
8,GET,/api/v1/admin/dashboard/foster-stats,admin-dashboard,Get Foster Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
9,GET,/api/v1/admin/dashboard/grievance-stats,admin-dashboard,Get Grievance Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
10,GET,/api/v1/admin/dashboard/inventory-alerts,admin-dashboard,Get Inventory Alerts,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
11,GET,/api/v1/admin/dashboard/kpis,admin-dashboard,Get Kpis,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
12,GET,/api/v1/admin/dashboard/lost-found-stats,admin-dashboard,Get Lost Found Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
13,GET,/api/v1/admin/dashboard/medical-stats,admin-dashboard,Get Medical Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
14,GET,/api/v1/admin/dashboard/metrics,admin-dashboard,Get System Metrics,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
15,GET,/api/v1/admin/dashboard/notification-summary,admin-dashboard,Get Notification Summary,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
16,GET,/api/v1/admin/dashboard/recent-activity,admin-dashboard,Get Recent Activity,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
17,GET,/api/v1/admin/dashboard/rescue-stats,admin-dashboard,Get Rescue Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
18,GET,/api/v1/admin/dashboard/shelter-stats,admin-dashboard,Get Shelter Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
19,GET,/api/v1/admin/dashboard/summary,admin-dashboard,Get Summary,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
20,GET,/api/v1/admin/dashboard/volunteer-stats,admin-dashboard,Get Volunteer Stats,200,185.0,390.0,520.0,PASS,Optimized (Shared Auth Cache / Composite Indexes)
