id,method,path,module,operation_id,summary
1,GET,/api/v1/admin/audit-logs,admin-audit,list_audit_logs_api_v1_admin_audit_logs_get,List Audit Logs
2,GET,/api/v1/admin/audit-logs/export,admin-audit,export_audit_logs_api_v1_admin_audit_logs_export_get,Export Audit Logs
3,POST,/api/v1/admin/audit-logs/export,admin-audit,export_audit_logs_api_v1_admin_audit_logs_export_post,Export Audit Logs
4,GET,/api/v1/admin/audit-logs/{entry_id},admin-audit,get_audit_log_api_v1_admin_audit_logs__entry_id__get,Get Audit Log
5,GET,/api/v1/admin/dashboard/adoption-stats,admin-dashboard,get_adoption_stats_api_v1_admin_dashboard_adoption_stats_get,Get Adoption Stats
6,GET,/api/v1/admin/dashboard/charts,admin-dashboard,get_charts_api_v1_admin_dashboard_charts_get,Get Charts
7,GET,/api/v1/admin/dashboard/donation-summary,admin-dashboard,get_donation_summary_api_v1_admin_dashboard_donation_summary_get,Get Donation Summary
8,GET,/api/v1/admin/dashboard/foster-stats,admin-dashboard,get_foster_stats_api_v1_admin_dashboard_foster_stats_get,Get Foster Stats
9,GET,/api/v1/admin/dashboard/grievance-stats,admin-dashboard,get_grievance_stats_api_v1_admin_dashboard_grievance_stats_get,Get Grievance Stats
10,GET,/api/v1/admin/dashboard/inventory-alerts,admin-dashboard,get_inventory_alerts_api_v1_admin_dashboard_inventory_alerts_get,Get Inventory Alerts
11,GET,/api/v1/admin/dashboard/kpis,admin-dashboard,get_kpis_api_v1_admin_dashboard_kpis_get,Get Kpis
12,GET,/api/v1/admin/dashboard/lost-found-stats,admin-dashboard,get_lost_found_stats_api_v1_admin_dashboard_lost_found_stats_get,Get Lost Found Stats
13,GET,/api/v1/admin/dashboard/medical-stats,admin-dashboard,get_medical_stats_api_v1_admin_dashboard_medical_stats_get,Get Medical Stats
14,GET,/api/v1/admin/dashboard/metrics,admin-dashboard,get_system_metrics_api_v1_admin_dashboard_metrics_get,Get System Metrics
15,GET,/api/v1/admin/dashboard/notification-summary,admin-dashboard,get_notification_summary_api_v1_admin_dashboard_notification_summary_get,Get Notification Summary
16,GET,/api/v1/admin/dashboard/recent-activity,admin-dashboard,get_recent_activity_api_v1_admin_dashboard_recent_activity_get,Get Recent Activity
17,GET,/api/v1/admin/dashboard/rescue-stats,admin-dashboard,get_rescue_stats_api_v1_admin_dashboard_rescue_stats_get,Get Rescue Stats
18,GET,/api/v1/admin/dashboard/shelter-stats,admin-dashboard,get_shelter_stats_api_v1_admin_dashboard_shelter_stats_get,Get Shelter Stats
19,GET,/api/v1/admin/dashboard/summary,admin-dashboard,get_summary_api_v1_admin_dashboard_summary_get,Get Summary
20,GET,/api/v1/admin/dashboard/volunteer-stats,admin-dashboard,get_volunteer_stats_api_v1_admin_dashboard_volunteer_stats_get,Get Volunteer Stats
21,GET,/api/v1/admin/permissions,admin,list_permissions_api_v1_admin_permissions_get,List Permissions
22,GET,/api/v1/admin/roles,admin,list_roles_api_v1_admin_roles_get,List Roles
23,POST,/api/v1/admin/roles,admin,create_role_api_v1_admin_roles_post,Create Role
24,GET,/api/v1/admin/roles/{role_id},admin,get_role_api_v1_admin_roles__role_id__get,Get Role
25,PUT,/api/v1/admin/roles/{role_id},admin,update_role_api_v1_admin_roles__role_id__put,Update Role
26,DELETE,/api/v1/admin/roles/{role_id},admin,delete_role_api_v1_admin_roles__role_id__delete,Delete Role
27,GET,/api/v1/admin/users,admin,list_users_api_v1_admin_users_get,List Users
28,POST,/api/v1/admin/users,admin,create_user_api_v1_admin_users_post,Create User
29,GET,/api/v1/admin/users/{user_id},admin,get_user_api_v1_admin_users__user_id__get,Get User
30,PUT,/api/v1/admin/users/{user_id},admin,update_user_api_v1_admin_users__user_id__put,Update User
31,DELETE,/api/v1/admin/users/{user_id},admin,delete_user_api_v1_admin_users__user_id__delete,Delete User
32,GET,/api/v1/adoptions,adoptions,list_applications_api_v1_adoptions_get,List Applications
33,POST,/api/v1/adoptions,adoptions,apply_for_adoption_api_v1_adoptions_post,Apply For Adoption
34,DELETE,/api/v1/adoptions/admin/adoptions/{app_id},adoptions,soft_delete_application_api_v1_adoptions_admin_adoptions__app_id__delete,Soft Delete Application
35,POST,/api/v1/adoptions/bulk/delete,adoptions,bulk_delete_applications_api_v1_adoptions_bulk_delete_post,Bulk Delete Applications
36,POST,/api/v1/adoptions/bulk/status-update,adoptions,bulk_update_application_status_api_v1_adoptions_bulk_status_update_post,Bulk Update Application Status
37,GET,/api/v1/adoptions/my,adoptions,list_my_applications_api_v1_adoptions_my_get,List My Applications
38,GET,/api/v1/adoptions/nearby-shelters,adoptions,find_nearby_shelters_api_v1_adoptions_nearby_shelters_get,Find Nearby Shelters
39,GET,/api/v1/adoptions/{app_id},adoptions,get_application_api_v1_adoptions__app_id__get,Get Application
40,PUT,/api/v1/adoptions/{app_id},adoptions,update_application_api_v1_adoptions__app_id__put,Update Application
41,DELETE,/api/v1/adoptions/{app_id},adoptions,soft_delete_application_api_v1_adoptions__app_id__delete,Soft Delete Application
42,GET,/api/v1/adoptions/{app_id}/agreement,adoptions,get_adoption_agreement_api_v1_adoptions__app_id__agreement_get,Get Adoption Agreement
43,PUT,/api/v1/adoptions/{app_id}/fee,adoptions,update_adoption_fee_api_v1_adoptions__app_id__fee_put,Update Adoption Fee
44,GET,/api/v1/adoptions/{app_id}/follow-ups,adoptions,get_follow_ups_api_v1_adoptions__app_id__follow_ups_get,Get Follow Ups
45,POST,/api/v1/adoptions/{app_id}/follow-ups,adoptions,create_follow_up_api_v1_adoptions__app_id__follow_ups_post,Create Follow Up
46,POST,/api/v1/adoptions/{app_id}/follow-ups/{follow_up_id}/proof,adoptions,submit_follow_up_proof_api_v1_adoptions__app_id__follow_ups__follow_up_id__proof_post,Submit Follow Up Proof
47,GET,/api/v1/adoptions/{app_id}/scores,adoptions,get_scores_api_v1_adoptions__app_id__scores_get,Get Scores
48,POST,/api/v1/adoptions/{app_id}/scores,adoptions,add_score_api_v1_adoptions__app_id__scores_post,Add Score
